25時ミク,25-ji miku
ラム・インベーダー,lum
チコ,luma (mario)
流明,lumen (arknights)
蛍（原神）,lumine (genshin impact)
露娜,luna (pgr)
ルナ,luna (sailor moon)
ルナチャイルド,luna child
ルナマリア・ホーク,lunamaria hawke
ルナサ・プリズムリバー,lunasa prismriver
Lunastra（モンスターハンター）,lunastra (monster hunter)
洛天依,luo tianyi
小黒,luo xiaohei
Luocha（崩壊：スターレイル）,luocha (honkai  star rail)
ルザミーネ,lusamine (pokemon)
Lust（鋼の錬金術師）,lust (fullmetal alchemist)
ルヴィアゼリッタ・エーデルフェルト（Fate）,luviagelita edelfelt
Lux（リーグ・オブ・レジェンド）,lux (league of legends)
レントラー（ポケモン）,luxray (pokemon)
まよなかのすがた,lycanroc (midnight)
リンディス,lyn (fire emblem)
リネット（原神）,lynette (genshin impact)
リネット・ビショップ,lynette bishop
リネ（原神）,lyney (genshin impact)
リン・ミンメイ,lynn minmay
コトネ（トレーナー）,lyra (pokemon)
ルリア,lyria (granblue fantasy)
リリカ・プリズムリバー,lyrica prismriver
リシテア,lysithea von ordelia
M14（ドールズフロントライン）,m14 (girls' frontline)
M16A1（ドールズフロントライン）,m16a1 (girls' frontline)
M200（ドールズフロントライン）,m200 (girls' frontline)
M4・Sopmod・Ii（ドールズフロントライン）,m4 sopmod ii (girls' frontline)
M4A1（ドールズフロントライン）,m4a1 (girls' frontline)
M950A（ドールズフロントライン）,m950a (girls' frontline)
カイリキー（ポケモン）,machamp (pokemon)
ゴーリキー（ポケモン）,machoke (pokemon)
帽子屋,mad hatter (alice in wonderland)
Mademoiselle・Crabaletta,mademoiselle crabaletta
円亜久里,madoka aguri
窓付き,madotsuki
前原圭一,maebara keiichi
前川未来（アイドルマスター シンデレラガールズ）,maekawa miku
東北風（艦隊これくしょん）,maestrale (kancolle)
マゼラン,magallan (arknights)
マジシャン,mage (ragnarok online)
悪の女幹部,magia baiser
Magical・Mirai・Miku,magical mirai miku
マジカルルビー,magical ruby
マギサ,magisa (granblue fantasy)
コイル,magnemite
マキラ,mahira (granblue fantasy)
真人（呪術廻戦）,mahito (jujutsu kaisen)
メイデン（勝利の女神:NIKKE）,maiden (nikke)
舞浜步（アイドルマスター ミリオンライブ！）,maihama ayumu
舞風（艦隊これくしょん）,maikaze (kancolle)
舞園沙耶香（ダンガンロンパ）,maizono sayaka
真鏡名ミナ,majikina mina
Majin・Android・21（ドラゴン・Ball）,majin android 21 (dragon ball)
マカ・アルバーン,maka albarn
真壁瑞希（アイドルマスター ミリオンライブ！）,makabe mizuki
魔界之莉莉姆（にじさんじ）,makaino ririmu
真紀（ブルーアーカイブ）,maki (blue archive)
小塗マキ（キャンプ）,maki (camp) (blue archive)
卷雲（艦隊これくしょん）,makigumo (kancolle)
マキマ（チェンソーマン）,makima (chainsaw man)
マキナ・中島,makina nakajima
真希波・マリ・イラストリアス,makinami mari illustrious
牧瀬紅莉栖（STEINS;GATE）,makise kurisu
羽沼真琴（ブルーアーカイブ）,makoto (blue archive)
マコト（プリコネ）,makoto (princess connect!)
まこと,makoto (street fighter)
マコト=ナナヤ,makoto nanaya
男ドクター,male doctor (arknights)
ミケラの刃マレニア,malenia blade of miquella
腐敗の女神マレニア,malenia goddess of rot
Malkuth（Project Moon）,malkuth (project moon)
マレウス・ドラコニア,malleus draconia
マオ（トレーナー）,mallow (pokemon)
マロン,malon
間宮（艦隊これくしょん）,mamiya (kancolle)
Mammon（うみねこのなく頃に）,mammon (umineko)
真中らぁら,manaka laala
真中のん,manaka non
マンハッタンカフェ（ウマ娘）,manhattan cafe (umamusume)
蛮啾（アズールレーン）,manjuu (azur lane)
満艦飾マコ,mankanshoku mako
魔乃アロエ,mano aloe
マンティコア,manticore (arknights)
マーニャ,manya (dq4)
猫猫,maomao (kusuriya no hitorigoto)
魔王（まおゆう）,maou (maoyuu)
魔王ベルゼル,maou beluzel
マーセリン,marceline abadeer
三月なのか（崩壊：スターレイル）,march 7th (honkai  star rail)
March・7th（Hunt）（崩壊：スターレイル）,march 7th (hunt) (honkai  star rail)
マルチャーナ（勝利の女神:NIKKE）,marciana (nikke)
マルシル,marcille donato
伊落瑪麗（ブルーアーカイブ）,mari (blue archive)
Mari（OMORI）,mari (omori)
瑪麗-体操服（ブルーアーカイブ）,mari (track) (blue archive)
マリア・カデンツァヴナ・イヴ,maria cadenzavna eve
Mariちゃん（VTuber）,maria marionette
マリアンヌ=フォン=エドマンド,marianne von edmund
マエリベリー・ハーン,maribel hearn
瑪麗（ガールズ＆パンツァー）,marie (girls und panzer)
シオカラーズ,marie (splatoon)
マリー・アントワネット（Fate）,marie antoinette (fate)
マリー・アントワネット（水着キャスター）（Fate）,marie antoinette (swimsuit caster) (fate)
マリー・アントワネット〔オルタ〕（Fate）,marie antoinette alter (fate)
マリー・ローズ,marie rose
池倉マリナ,marina (blue archive)
Marina（Fear・&・Hunger）,marina (fear & hunger)
イイダ,marina (splatoon)
マリナ・イスマイール,marina ismail
Marinette・Dupain・Cheng,marinette dupain-cheng
マリオ,mario
陸景和,marius von hagen (tears of themis)
マール,marle (chrono trigger)
マリィ（トレーナー）,marnie (pokemon)
マルス,marth (fire emblem)
マルタ（Fate）,martha (fate)
マルタ（水着ルーラー）（Fate）,martha (swimsuit ruler) (fate)
武闘家,martial artist (dq3)
マルティナ（DQ11）,martina (dq11)
丸優（艦隊これくしょん）,maru-yu (kancolle)
丸井ひとは,marui hitoha
丸井みつば,marui mitsuba
マルルク,maruruk
丸山あかね,maruyama akane
丸山彩（BanG Dream!）,maruyama aya
丸山咲（ガールズ＆パンツァー）,maruyama saki
マルゼンスキー（ウマ娘）,maruzensky (umamusume)
マーベラスサンデー（ウマ娘）,marvelous sunday (umamusume)
メアリー（Fate）,mary (fate)
メアリー（Ib）,mary (ib)
Mary・Jane・Watson（Marvel）,mary jane watson (marvel)
メアリー・リード（Fate）,mary read (fate)
马里蘭（艦隊これくしょん）,maryland (kancolle)
マシュ・キリエライト（Fate）,mash kyrielight
マシュ・キリエライト（デンジャラス・ビースト）（Fate）,mash kyrielight (dangerous beast)
マシュ・キリエライト（オルテナウス）（Fate）,mash kyrielight (ortenaus)
マシュ・キリエライト（常夏の水着）（Fate）,mash kyrielight (swimsuit of perpetual summer)
真白（ブルーアーカイブ）,mashiro (blue archive)
マサチューセッツ,massachusetts (azur lane)
マスト（勝利の女神:NIKKE）,mast (nikke)
Master・局長（Halo）,master chief (halo)
マスラオ（世界樹）,masurao (sekaiju)
摩多羅隠岐奈（東方Project）,matara okina
マチカネタンホイザ（ウマ娘）,matikane tannhauser (umamusume)
マチカネフクキタル（ウマ娘）,matikanefukukitaru (umamusume)
的場梨沙（アイドルマスター）,matoba risa
マトイ,matoi (pso2)
纏流子,matoi ryuuko
間桐雁夜（Fate）,matou kariya
間桐桜（Fate）,matou sakura
松原花音（BanG Dream!）,matsubara kanon
松田亜利沙（アイドルマスター）,matsuda arisa
松前緒花,matsumae ohana
松実玄（咲-Saki-）,matsumi kuro
松実宥（咲-Saki-）,matsumi yuu
松本乱菊（BLEACH）,matsumoto rangiku
チョロ松,matsuno choromatsu
十四松,matsuno jyushimatsu
カラ松,matsuno karamatsu
松野おそ松,matsuno osomatsu
トド松,matsuno todomatsu
松岡江,matsuoka gou
松岡美羽,matsuoka miu
松岡凛,matsuoka rin
松浦果南,matsuura kanan
マーヴィカ（原神）,mavuika (genshin impact)
マツブサ,maxie (pokemon)
メイ（ギルティギア）,may (guilty gear)
May（Gundam・Build・Divers・Re・Rise）,may (gundam build divers re rise)
ハルカ（トレーナー）,may (pokemon)
摩耶（艦隊これくしょん）,maya (kancolle)
綾里真宵（逆転裁判）,maya fey
摩耶改二（艦隊これくしょん）,maya kai ni (kancolle)
マヤノトップガン（ウマ娘）,mayano top gun (umamusume)
Mayday・Parker（Marvel）,mayday parker (marvel)
Mayu（VOCALOID）,mayu (vocaloid)
黛冬優子,mayuzumi fuyuko
Mdr（ドールズフロントライン）,mdr (girls' frontline)
メイヴ（Fate）,medb (fate)
メディア（Fate）,medea (fate)
メディスン・メランコリー,medicine melancholy
メジェド（Fate）,medjed (fate)
メドゥーサ（Fate）,medusa (fate)
メドゥーサ（ランサー）（Fate）,medusa (lancer) (fate)
メドゥーサ,medusa (shingeki no bahamut)
ミーア・キャンベル,meer campbell
Mega・Charizard・X・Y（ポケモン）,mega charizard x/y (pokemon)
Mega・Garchomp（ポケモン）,mega garchomp (pokemon)
メガサーナイト,mega gardevoir
ロックマン（キャラクター）,mega man (character)
Mega・Swampert（ポケモン）,mega swampert (pokemon)
恵（ブルーアーカイブ）,megu (blue archive)
めぐみん,megumin
巡音ルカ,megurine luka
MGR姉貴,meguru (cookie)
Mei（Overwatch）,mei (overwatch)
冥冥（呪術廻戦）,mei mei (jujutsu kaisen)
鳴花ヒメ,meika hime
鳴花ミコト,meika mikoto
メイコ,meiko (vocaloid)
明羅（東方Project）,meira (touhou)
メイショウドトウ（ウマ娘）,meisho doto (umamusume)
メジロアルダン（ウマ娘）,mejiro ardan (umamusume)
メジロブライト（ウマ娘）,mejiro bright (umamusume)
メジロドーベル（ウマ娘）,mejiro dober (umamusume)
さざ波フェアレディ,mejiro mcqueen (ripple fairlady) (umamusume)
メジロマックイーン（ウマ娘）,mejiro mcqueen (umamusume)
メジロパーマー（ウマ娘）,mejiro palmer (umamusume)
メジロラモーヌ（ウマ娘）,mejiro ramonu (umamusume)
メリア,melia antiqua
メリナ,melina (elden ring)
メロディー,melody (projektmelody)
メローナ,melona (queen's blade)
メロン,melony (pokemon)
メルトリリス（Fate）,meltryllis (fate)
メルトリリス（水着ランサー）（Fate）,meltryllis (swimsuit lancer) (fate)
メリュジーヌ（Fate）,melusine (fate)
メリュジーヌ（水着ルーラー）（Fate）,melusine (swimsuit ruler) (fate)
MEMちょ,memcho
マスカーニャ,meowscarada
ニャース,meowth
ニャーコ（チェンソーマン）,meowy (chainsaw man)
メルセデス=フォン=マルトリッツ,mercedes von martritz
Mercy（Overwatch）,mercy (overwatch)
マーリン（Fate）,merlin (fate)
マーリン（Fate/Prototype）,merlin (fate/prototype)
メルラン・プリズムリバー,merlin prismriver
メリー・ナイトメア,merry nightmare
メタナイト,meta knight
メーティオン,meteion
メーテラ,metera (granblue fantasy)
ミュウ（ポケモン）,mew (pokemon)
Mew・Ichigo（Tokyo・Mew・Mew）,mew ichigo (tokyo mew mew)
ミュウツー（ポケモン）,mewtwo (pokemon)
ワユ,mia (fire emblem)
綾里千尋,mia fey
ミアテイラー,mia taylor
ミカヤ,micaiah (fire emblem)
千鳥ミチル,michiru (blue archive)
満潮（艦隊これくしょん）,michishio (kancolle)
満潮改二,michishio kai ni (kancolle)
ミッキーマウス,mickey mouse
乱藤四郎,midare toushirou
ミドナ,midna
緑（ブルーアーカイブ）,midori (blue archive)
緑（メイド）（ブルーアーカイブ）,midori (maid) (blue archive)
緑川奈央（プリキュア）,midorikawa nao
緑谷出久（僕のヒーローアカデミア）,midoriya izuku
中途島姫（艦隊これくしょん）,midway princess
Mieu（Tales・Abyss）,mieu (tales of the abyss)
三船美優（アイドルマスター シンデレラガールズ）,mifune miyu
三船栞子,mifune shioriko
グラエナ,mightyena
Miguel・O'hara（Marvel）,miguel o'hara (marvel)
美浜ちよ,mihama chiyo
ミホノブルボン（ウマ娘）,mihono bourbon (umamusume)
ミーア（モンスター娘のいる日常）,miia (monster musume)
聖園ミカ,mika (blue archive)
美佳（ガールズ＆パンツァー）,mika (girls und panzer)
三笠（アズールレーン）,mikasa (azur lane)
ミカサ・アッカーマン,mikasa ackerman
三日月（艦隊これくしょん）,mikazuki (kancolle)
三日月宗近（刀剣乱舞）,mikazuki munechika
三日月夜空,mikazuki yozora
美樹沙耶香（魔法少女まどか☆マギカ）,miki sayaka
美木杉愛九郎,mikisugi aikurou
ミクリオ,mikleo (tales)
バーチャルのじゃロリ狐娘Youtuberおじさん,mikoko (kemomimi oukoku kokuei housou)
三隈（艦隊これくしょん）,mikuma (kancolle)
美雲・ギンヌメール,mikumo guynemer
御蔵（艦隊これくしょん）,mikura (kancolle)
ミルフィーユ・桜葉,milfeulle sakuraba
ミリム・ナーヴァ,milim nava
ミラ=マクスウェル,milla maxwell
ミルヒオーレ・F・ビスコッティ,millhiore f. biscotti
ミリア=レイジ,millia rage
Millie・Parfait,millie parfait
ミレイ・アッシュフォード,milly ashford
ヤロー（トレーナー）,milo (pokemon)
ミロカロス,milotic
ミルタンク,miltank
魅魔（東方Project）,mima (touhou)
ミミッキュ,mimikyu
美美野来未（プリキュア）,mimino kurumi
未森（ブルーアーカイブ）,mimori (blue archive)
三村加奈子（アイドルマスター）,mimura kanako
ミェンミェン,min min (arms)
近衛ミナ,mina (blue archive)
水上麻衣,minakami mai
南千秋,minami chiaki
南夏奈,minami kana
南小鳥（ラブライブ！）,minami kotori
水波レナ,minami rena
南夢芽,minami yume
南野奏（プリキュア）,minamino kanade
源頼光（Fate）,minamoto no raikou (fate)
源さくら,minamoto sakura
水瀬秋子,minase akiko
水瀬伊織（アイドルマスター）,minase iori
水瀬名雪,minase nayuki
湊あくあ,minato aqua
湊智花,minato tomoka
湊友希那（BanG Dream!）,minato yukina
峰不二子,mine fujiko
峰雲（艦隊これくしょん）,minegumo (kancolle)
ミネバ・ラオ・ザビ,mineva lao zabi
ミーナ・ディートリンデ・ヴィルケ,minna-dietlinde wilcke
ミネアポリス（アズールレーン）,minneapolis (azur lane)
ミノト,minoto
ミント・ブラマンシュ,mint blancmanche
マイナン,minun
ミオ（ゼノブレイド3）,mio (xenoblade)
三田伊吹（ダンガンロンパ）,mioda ibuki
ミオリネ・レンブラン,miorine rembran
聖樹のミケラ,miquella (elden ring)
ミラキュラス・レディバグ,miraculous ladybug
未来,mirai (senran kagura)
ミライドン（ポケモン）,miraidon (pokemon)
ミラミカルリラン,miramikaru riran
ミモザ,miriam (pokemon)
ミルコ,mirko
御坂美琴,misaka mikoto
美坂栞,misaka shiori
番外個体,misaka worst
美咲（ブルーアーカイブ）,misaki (blue archive)
岬明乃,misaki akeno
ミシャグジ様,mishaguji
Mishima・Heihachi（鉄拳）,mishima heihachi (tekken)
Mishima・Kazuya（鉄拳）,mishima kazuya (tekken)
美翔舞（プリキュア）,mishou mai
ムウマージ,mismagius
穂高みそぎ,misogi (princess connect!)
御園かりん,misono karin
ミソラ（プリコネ）,misora (princess connect!)
Miss・Fortune（リーグ・オブ・レジェンド）,miss fortune (league of legends)
ミスト,mist (fire emblem)
カスミ（トレーナー）,misty (pokemon)
美墨渚（プリキュア）,misumi nagisa
Mita（Miside）,mita (miside)
戦争の悪魔,mitaka asa
美竹蘭（BanG Dream!）,mitake ran
御手洗紅豆（NARUTO）,mitarashi anko (naruto)
ミテイル,miteiru (shirakami fubuki)
ミスルン隊長,mithrun
三頭慧ノ子,mitsugashira enoko
深月フェリシア,mitsuki felicia
三峰結華（アイドルマスター シャイニーカラーズ）,mitsumine yuika
御剣冥夜,mitsurugi meiya
三浦梓（アイドルマスター）,miura azusa
宮藤芳佳,miyafuji yoshika
宮川高嶺,miyagawa takane
宮城リョータ,miyagi ryouta
月雪宮子（ブルーアーカイブ）,miyako (blue archive)
月雪宮子（水着）（ブルーアーカイブ）,miyako (swimsuit) (blue archive)
宮古芳香,miyako yoshika
宮水三葉,miyamizu mitsuha
宮森あおい,miyamori aoi
宮本フレデリカ,miyamoto frederica
宮本伊織（Fate）,miyamoto iori (fate)
宮本武蔵（Fate）,miyamoto musashi (fate)
宮本武蔵（第一再臨）（Fate）,miyamoto musashi (first ascension) (fate)
宮本武蔵（水着バーサーカー）（Fate）,miyamoto musashi (swimsuit berserker) (fate)
宮下愛,miyashita ai
宮内れんげ,miyauchi renge
宮浦三汐,miyaura sanshio
宮園かをり,miyazono kawori
霞沢美優（ブルーアーカイブ）,miyu (blue archive)
霞沢美優（水着）（ブルーアーカイブ）,miyu (swimsuit) (blue archive)
美遊・エーデルフェルト（Fate）,miyu edelfelt
美遊・エーデルフェルト（ビーストスタイル）（Fate）,miyu edelfelt (beast style)
美遊・エーデルフェルト（魔法少女）（Fate）,miyu edelfelt (magical girl)
深雪（艦隊これくしょん）,miyuki (kancolle)
水原千鶴,mizuhara chizuru
水原暦,mizuhara koyomi
水橋帕西（東方Project）,mizuhashi parsee
瑞穂（艦隊これくしょん）,mizuho (kancolle)
ミヅキ（アークナイツ）,mizuki (arknights)
水木聖來（アイドルマスター）,mizuki seira
Mizuki・Shiranui（対魔忍アサギ）,mizuki shiranui (taimanin asagi)
水城ゆきかぜ,mizuki yukikaze
Mizuki・Yukikaze（対魔忍アサギ）,mizuki yukikaze (taimanin asagi)
水本由香里（アイドルマスター）,mizumoto yukari
水無灯里,mizunashi akari
水野愛,mizuno ai
水野亞美（美少女戦士セーラームーン）,mizuno ami
水澤摩央,mizusawa mao
水谷絵理（アイドルマスター）,mizutani eri
Mizutsune（モンスターハンター）,mizutsune (monster hunter)
メビウス,mobius (honkai impact)
望月（艦隊これくしょん）,mochizuki (kancolle)
望月杏奈（アイドルマスター）,mochizuki anna
望月千代女（Fate）,mochizuki chiyome (fate)
望月穂波（プロジェクトセカイ）,mochizuki honami
望月綾時,mochizuki ryouji
モココ・アビスガード,mococo abyssgard
モココ・アビスガード（通常）,mococo abyssgard (1st costume)
モダニア,modernia (nikke)
モデウス,modeus (helltaker)
風仓萌（ブルーアーカイブ）,moe (blue archive)
最上（艦隊これくしょん）,mogami (kancolle)
最上静香（アイドルマスター）,mogami shizuka
モモ,momo (nikki)
モモ・ベリア・デビルーク,momo velia deviluke
百江渚（魔法少女まどか☆マギカ）,momoe nagisa
百江渚（魔法少女）（魔法少女まどか☆マギカ）,momoe nagisa (magical girl)
百姫,momohime
彩葉桃井（ブルーアーカイブ）,momoi (blue archive)
彩葉桃井（メイド）（ブルーアーカイブ）,momoi (maid) (blue archive)
桃井愛莉,momoi airi
由良木桃花（ブルーアーカイブ）,momoka (blue archive)
百生吟子,momose ginko
桃鈴奈々（VTuber）,momosuzu nene
百田解斗,momota kaito
愛桃園（プリキュア）,momozono love
MON3TR（アークナイツ）,mon3tr (arknights)
モナ（原神）,mona (genshin impact)
モナ,mona (warioware)
君主（アズールレーン）,monarch (azur lane)
モニカ（DDLC）,monika (doki doki literature club)
モニカ・ヴァイスヴィント,monika weisswind
モンキー・D・ルフィ,monkey d. luffy
モノ子,monoko
黒白熊（ダンガンロンパ）,monokuma
モノミ,monomi (danganronpa)
物述有栖,mononobe alice
物部布都（東方Project）,mononobe no futo
Montgomery・Gator（Five Nights at Freddy's）,montgomery gator (five nights at freddy's)
モーグリ,moogle
Moona・Hoshinova,moona hoshinova
月光花（東方Project）,moonlight flower
ヘラジカ（けものフレンズ）,moose (kemono friends)
メレフ,morag ladair (xenoblade)
Mordekaiser（リーグ・オブ・レジェンド）,mordekaiser (league of legends)
モードレッド（Fate）,mordred (fate)
モードレッド（水着ライダー）（Fate）,mordred (swimsuit rider) (fate)
マーク,morgan (fire emblem)
モルガン・ル・フェ（Fate）,morgan le fay (fate)
モルガナ（ペルソナ）,morgana (persona 5)
モルジアナ,morgiana
森美声（ホロライブ）,mori calliope
森美声（ホロライブ）,mori calliope (sleepwear)
森美声（ホロライブ）,mori calliope (streetwear)
森雪,mori yuki
森近霖之助（東方Project）,morichika rinnosuke
森久保乃乃（アイドルマスター シンデレラガールズ）,morikubo nono
森中花咲（にじさんじ）,morinaka kazaki
杜野凛世（アイドルマスター シャイニーカラーズ）,morino rinze
守沢千秋,morisawa chiaki
森島はるか,morishima haruka
泄矢诹访子（東方Project）,moriya suwako
諸星きらり,moroboshi kirari
モリガン・アーンスランド,morrigan aensland
マツバ,morty (pokemon)
モスティマ,mostima (arknights)
本居小鈴（東方Project）,motoori kosuzu
マウンテン（アークナイツ）,mountain (arknights)
毛利元就（戦国BASARA）,mouri motonari (sengoku basara)
毛利蘭,mouri ran
Moze（崩壊：スターレイル）,moze (honkai  star rail)
MP40（ドールズフロントライン）,mp40 (girls' frontline)
MP7（ドールズフロントライン）,mp7 (girls' frontline)
ミスターシービー（ウマ娘）,mr. c.b. (umamusume)
這いばい男,mr. crawling
Mr.・Squeaks（Hakos・Baelz）,mr. squeaks (hakos baelz)
Ms.・Fortune（スカルガールズ）,ms. fortune (skullgirls)
μ-12,mu-12
ムアラニ,mualani (genshin impact)
ミズゴロウ,mudkip
泥岩,mudrock (arknights)
Mudrock（Obsidian）（アークナイツ）,mudrock (obsidian) (arknights)
ミュルジス,muelsyse (arknights)
Mugino・Shizuri,mugino shizuri
ムジナ,mujina
向井拓海（アイドルマスター シンデレラガールズ）,mukai takumi
向井戸まなか,mukaido manaka
マルベリー（アークナイツ）,mulberry (arknights)
無名,mumei (kabaneri)
栋方愛海（アイドルマスター シンデレラガールズ）,munakata atsumi
村上巴,murakami tomoe
叢雲（艦隊これくしょん）,murakumo (kancolle)
叢雲改二（艦隊これくしょん）,murakumo kai ni (kancolle)
村野さやか,murano sayaka
村紗水蜜（東方Project）,murasa minamitsu
紫（閃乱カグラ）,murasaki (senran kagura)
紫式部（Fate）,murasaki shikibu (fate)
紫式部（水着ライダー）（Fate）,murasaki shikibu (swimsuit rider) (fate)
紫咲诗音（ホロライブ）,murasaki shion
紫咲诗音（ゴシックロリータ）（ホロライブ）,murasaki shion (gothic lolita)
村雨（艦隊これくしょん）,murasame (kancolle)
ムラサメ,murasame (senren)
村雨改二（艦隊これくしょん）,murasame kai ni (kancolle)
無量塔姫子,murata himeko
武蔵（アズールレーン）,musashi (azur lane)
武蔵（艦隊これくしょん）,musashi (kancolle)
武蔵改二（艦隊これくしょん）,musashi kai ni (kancolle)
武者巫女トモエ,musha miko tomoe
ムシャーナ,musharna
武藤遊戯,muto yugi
陸奥（艦隊これくしょん）,mutsu (kancolle)
陸奥改二,mutsu kai ni (kancolle)
陸奥守吉行,mutsu-no-kami yoshiyuki
睦月（アズールレーン）,mutsuki (azur lane)
睦月（ブルーアーカイブ）,mutsuki (blue archive)
睦月（ドレス）（ブルーアーカイブ）,mutsuki (dress) (blue archive)
睦月（艦隊これくしょん）,mutsuki (kancolle)
睦月（正月）（ブルーアーカイブ）,mutsuki (new year) (blue archive)
睦月改二（艦隊これくしょん）,mutsuki kai ni (kancolle)
マイメロディ,my melody
ミレーヌ・ジーナス,mylene jenius
明堂院いつき,myoudouin itsuki
妙高（艦隊これくしょん）,myoukou (kancolle)
妙高改二（艦隊これくしょん）,myoukou kai ni (kancolle)
ミルラ,myrrh (fire emblem)
テンニンカ（アークナイツ）,myrtle (arknights)
ミスタ・リアス,mysta rias
謎のヒロインX（Fate）,mysterious heroine x (fate)
謎のヒロインX〔オルタ〕（Fate）,mysterious heroine x alter (fate)
謎のヒロインXX（Fate）,mysterious heroine xx (fate)
ミスティア・ローレライ,mystia lorelei
Mythra（Radiant・Beach）（ゼノブレイド）,mythra (radiant beach) (xenoblade)
ヒカリ（ゼノブレイド2）,mythra (xenoblade)
n（トレーナー）,n (pokemon)
那智（艦隊これくしょん）,nachi (kancolle)
苗木困（ダンガンロンパ）,naegi komaru
苗木诚（ダンガンロンパ）,naegi makoto
ナガ,naga (nikke)
白蛇のナーガ,naga the serpent
永江衣玖（東方Project）,nagae iku
長波（艦隊これくしょん）,naganami (kancolle)
長野原みお,naganohara mio
ナガンM1895,nagant revolver (girls' frontline)
長尾景虎（Fate）,nagao kagetora (fate)
長良（艦隊これくしょん）,nagara (kancolle)
長崎素世（BanG Dream!）,nagasaki soyo
長門（アズールレーン）,nagato (azur lane)
長門（艦隊これくしょん）,nagato (kancolle)
長門改二（艦隊これくしょん）,nagato kai ni (kancolle)
長門有希（涼宮ハルヒの憂鬱）,nagato yuki
長瀞さん,nagatoro hayase
長月（艦隊これくしょん）,nagatsuki (kancolle)
永吉昴（アイドルマスター ミリオンライブ！）,nagayoshi subaru
ナギ,nagi (kannagi)
桐藤渚（ブルーアーカイブ）,nagisa (blue archive)
渚カヲル,nagisa kaworu
和実ゆい,nagomi yui
南雲晴矢,nagumo haruya
ナヒーダ（原神）,nahida (genshin impact)
Naihe（女性）（Touqi・Guaitan）,naihe (female) (touqi guaitan)
那珂（艦隊これくしょん）,naka (kancolle)
中川夏紀,nakagawa natsuki
仲村ゆり,nakamura yuri
中野梓（けいおん！）,nakano azusa
中野一花（五等分の花嫁）,nakano ichika
中野五月（五等分の花嫁）,nakano itsuki
中野三玖（五等分の花嫁）,nakano miku
中野二乃（五等分の花嫁）,nakano nino
中野四葉（五等分の花嫁）,nakano yotsuba
中須かすみ,nakasu kasumi
中多紗江,nakata sae
中津静流,nakatsu shizuru
ナカヤマフェスタ（ウマ娘）,nakayama festa (umamusume)
薙切アリス,nakiri alice
百鬼綾目（ホロライブ）,nakiri ayame
百鬼綾目（初期衣装）（ホロライブ）,nakiri ayame (1st costume)
百鬼綾目（ホロライブ）,nakiri ayame (streetwear)
薙切えりな,nakiri erina
ナコルル,nakoruru
鯰尾藤四郎,namazuo toushirou
ナミ,nami (one piece)
Namine（キングダム ハーツ）,namine (kingdom hearts)
ナナ・アスタ・デビルーク,nana asta deviluke
ナナチ,nanachi (made in abyss)
七草葉月（アイドルマスター シャイニーカラーズ）,nanakusa hazuki
七草ナズナ,nanakusa nazuna (yofukashi no uta)
脉冲,nanami (pgr)
七海千秋（ダンガンロンパ）,nanami chiaki
七海建人,nanami kento
七海るちあ,nanami lucia
七海燈子,nanami touko
七海やちよ,nanami yachiyo
七尾百合子（アイドルマスター ミリオンライブ！）,nanao yuriko
七咲逢,nanasaki ai
七诗无铭（ホロライブ）,nanashi mumei
七诗无铭（初期衣装）（ホロライブ）,nanashi mumei (1st costume)
七诗无铭（私服）（ホロライブ）,nanashi mumei (casual)
Nanashi・Mumei（Emo）,nanashi mumei (emo)
Nanjo・Hikaru,nanjo hikaru
ナオ,nao (mabinogi)
直井文人,naoi ayato
Naoki・Miki（Gakkou・Gurashi!）,naoki miki (gakkou gurashi!)
Naoko（Lynus）,naoko (lynus)
ナポレオン（Fate）,napoleon bonaparte (fate)
ナルシソ・アナスイ,narciso anasui
ナリタブライアン（ウマ娘）,narita brian (umamusume)
ナリタタイシン（ウマ娘）,narita taishin (umamusume)
ナリタトップロード（ウマ娘）,narita top road (umamusume)
ナルメア,narmaya (granblue fantasy)
Narmaya（夏）（グランブルーファンタジー）,narmaya (summer) (granblue fantasy)
Narukami・Yuu,narukami yuu
鳴子（NARUTO）,naruko (naruto)
成宮由愛（アイドルマスター シンデレラガールズ）,narumiya yume
成沢稜歌,narusawa ryouka
鳴瀬しろは,naruse shiroha
Nasus（リーグ・オブ・レジェンド）,nasus (league of legends)
ナタリア・ルツ・キムラスカ・ランバルディア,natalia luzu kimlasca lanvaldear
キョウヘイ,nate (pokemon)
名取さな,natori sana
柚鳥夏（ブルーアーカイブ）,natsu (blue archive)
ナツ・ドラグニル,natsu dragneel
奈津恵,natsu megumi
夏色祭（ホロライブ）,natsuiro matsuri
夏色祭（初期衣装）（ホロライブ）,natsuiro matsuri (1st costume)
夏色祭（私服）（ホロライブ）,natsuiro matsuri (casual)
まつりの休日,natsuiro matsuri (matsuri's day off)
Natsuki（Doki・Doki・Literature・Club）,natsuki (doki doki literature club)
夏色花梨,natsuki karin
夏木りん,natsuki rin
ナツキ・スバル,natsuki subaru
棗恭介,natsume kyousuke
棗鈴,natsume rin
夏海まなつ,natsuumi manatsu
ネイティ,natu
ナヴィア（原神）,navia (genshin impact)
ナズーリン,nazrin
NE级重巡洋艦（アズールレーン）,ne-class heavy cruiser
ニアール（アークナイツ）,nearl (arknights)
耀騎士ニアール,nearl the radiant knight (arknights)
Neeko（リーグ・オブ・レジェンド）,neeko (league of legends)
ネフェルピトー,neferpitou
内格夫,negev (girls' frontline)
